new_id,lag1,ratio_before,pred_before,pred_after,ratio_after,n_candidates
225,57904200.0,4.267028643863485,247078880.0,63951726.93815231,1.1044402122497559,3
523,31269784.0,7.245700961669579,226571504.0,34535606.87796402,1.1044402122497559,3
901,47717572.0,2.3507693979064985,112173008.0,52701205.34772301,1.1044402122497559,3
1544,41098644.0,2.3446710309955727,96362800.0,45390995.102537155,1.1044402122497559,3
1713,105579176.0,3.3289655528283344,351469440.0,116605887.55059433,1.1044402122497559,3
2346,34049440.0,2.0551814068014043,69977776.0,37605570.74058533,1.1044402122497559,3
2650,12305208.0,5.613089352085718,69070232.0,13590366.535297394,1.1044402122497559,3
2734,47198372.0,3.105667797185886,146582464.0,52127779.989522934,1.1044402122497559,3
3983,41147208.0,2.133873676192076,87802944.0,45444631.13700485,1.1044402122497559,3
5164,102604528.0,2.1410995818820004,219686512.0,113320566.68210602,1.1044402122497559,3
5349,43053864.0,2.7222779353788082,117204584.0,47550418.69433212,1.1044402122497559,3
6369,31260458.0,2.4262856289565558,75846800.0,34525306.86854458,1.1044402122497559,3
6414,58405104.0,2.944279938273888,171960976.0,64504945.458229065,1.1044402122497559,3
6497,33730200.0,2.2431957118546584,75663440.0,37252989.247226715,1.1044402122497559,3
6659,84291328.0,2.0789038701585056,175233568.0,93094732.18713379,1.1044402122497559,3
7274,40997656.0,2.0087109370350342,82352440.0,45279459.89438248,1.1044402122497559,3
7876,54818336.0,2.153865888960949,118071344.0,60543574.64701843,1.1044402122497559,3
7932,98048328.0,2.503227592009524,245437280.0,108288516.18705368,1.1044402122497559,3
8997,61875616.0,2.430415755376076,150383472.0,68337918.46812439,1.1044402122497559,3
9887,17820900.0,5.6469502662604025,100633736.0,19682118.578481674,1.1044402122497559,3
9889,47457396.0,2.3765453966332246,112784656.0,52413856.511060715,1.1044402122497559,3
10741,103429912.0,2.225140440997378,230146080.0,114232153.96225357,1.1044402122497559,3
10859,93564280.0,2.5342563636464686,237115872.0,103336153.26219559,1.1044402122497559,3
11088,29226354.0,2.3210528415552623,67835912.0,32278760.6150465,1.1044402122497559,3
11350,81302928.0,2.2138648684337667,179993696.0,89794223.05684662,1.1044402122497559,3
11612,36470828.0,2.0601023919720167,75133640.0,40279849.01724434,1.1044402122497559,3
12293,64136668.0,2.791396896390065,179030896.0,70835115.21891212,1.1044402122497559,3
13161,36913556.0,3.024606570009132,111648984.0,40768815.62353325,1.1044402122497559,3
14604,20498124.0,3.542422126044315,72613008.0,22638952.421281815,1.1044402122497559,3
15106,45152436.0,2.1523080615185415,97181952.0,49868165.99943352,1.1044402122497559,3
15880,49959060.0,2.4778831307074234,123792712.0,55176794.83019829,1.1044402122497559,3
15885,33432784.0,3.103501999713814,103758712.0,36924511.05706024,1.1044402122497559,3
17363,32002356.0,2.0919222322256523,66946440.0,35344688.85313225,1.1044402122497559,3
17561,27027958.0,2.967131146200538,80195496.0,29850763.670197487,1.1044402122497559,3
18083,56971148.0,2.3151207695516334,131895088.0,62921226.789232254,1.1044402122497559,3
18849,83867200.0,2.1191857603449265,177730176.0,92626308.16879272,1.1044402122497559,3
18988,27248486.0,2.2220349416844662,60547088.0,30094323.6613245,1.1044402122497559,3
19073,32060406.0,2.51908799907275,80762984.0,35408801.607453346,1.1044402122497559,3
19711,36927136.0,2.021848648105285,74661080.0,40783813.9216156,1.1044402122497559,3
19891,59872216.0,2.1044420336805305,125997608.0,66125282.94690323,1.1044402122497559,3
20441,101375232.0,2.3936881150614777,242660688.0,111962882.74694824,1.1044402122497559,3
20497,134314064.0,2.2356930842327873,300285024.0,148341853.3522873,1.1044402122497559,3
21095,30602320.0,2.139180689568634,65463892.0,33798432.79613495,1.1044402122497559,3
21427,75393696.0,2.139351491668481,161293616.0,83267829.61253357,1.1044402122497559,3
21704,63306980.0,2.061368651608401,130499024.0,69918774.42809105,1.1044402122497559,3
