new_id,lag1,ratio_before,pred_before,pred_after,ratio_after,n_candidates
4505,34904436.0,2.1756243229429924,75938939.940207,36840905.09992075,1.0554791688919067,3
5505,36737044.0,2.225722268536069,81766456.91098939,38771886.982788086,1.055389404296875,3
10285,39423796.0,2.8099522801362338,110778985.46182573,41590410.82636309,1.0549570322036743,3
10994,15144713.0,2.078022221373927,31471050.15033059,15976308.350817919,1.0549099445343018,3
13149,19009590.0,2.5502520516643608,48479245.89879832,20050960.3893435,1.0547813177108765,3
13668,40573644.0,2.0333886428881867,82501986.91018842,42794773.920963764,1.0547431707382202,3
15530,30502700.0,2.0562645308485177,62721620.10511308,32169623.730945587,1.0546483993530273,3
18876,31835652.0,2.407558987667151,76646210.10084371,33566683.091397285,1.0543739795684814,3
19224,17115792.0,2.1444879876859315,36704610.343730964,18045907.06909561,1.05434250831604,3
20365,38426488.0,2.0759590200356746,79771814.37189262,40510080.62618446,1.054222822189331,3
